what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1316385507675
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1316385508216
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1316385508216
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1316385508322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316385508771
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1316385509025
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1316385509029
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1316385514704
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316385514805
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316385514824
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1316385514828
error,log,,,"Unable to read /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml: java.io.FileNotFoundException: /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml (No such file or directory)",1316385528502
error,log,,,"Unable to read /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml: java.io.FileNotFoundException: /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml (No such file or directory)",1316385632352
error,log,,,"Unable to read /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml: java.io.FileNotFoundException: /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml (No such file or directory)",1316385632356
